Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-16.local) 	04/20/20 	_x86_64_	(32 CPU)

18:56:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:56:42     all    6.23    0.00    0.13    0.00    0.00    0.00    0.00    0.00   93.64
18:56:42       0    0.51    0.00    1.27    0.00    0.00    0.00    0.00    0.00   98.23
18:56:42       1   70.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   29.50
18:56:42       2    0.00    0.00    1.50    0.00    0.00    0.00    0.00    0.00   98.50
18:56:42       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42       8   29.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   71.00
18:56:42       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      16    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
18:56:42      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      26   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:42      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:42      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:56:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:56:46     all    6.27    0.00    0.06    0.00    0.00    0.00    0.00    0.00   93.67
18:56:46       0    0.51    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.47
18:56:46       1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
18:56:46       2   27.11    0.00    0.25    0.00    0.00    0.00    0.00    0.00   72.64
18:56:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46       8   72.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00   27.25
18:56:46       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      16    0.00    0.00    0.26    0.00    0.00    0.00    0.00    0.00   99.74
18:56:46      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      18    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
18:56:46      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      20    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
18:56:46      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:46      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:46      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:56:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:56:50     all    6.26    0.00    0.05    0.00    0.00    0.00    0.00    0.00   93.70
18:56:50       0   59.49    0.00    0.51    0.00    0.00    0.00    0.00    0.00   40.00
18:56:50       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:56:50       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50       8   41.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
18:56:50       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:50      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      29    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00   99.75
18:56:50      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:50      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:56:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:56:54     all    6.25    0.00    0.05    0.00    0.00    0.00    0.00    0.00   93.70
18:56:54       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:54       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:56:54       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      16    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
18:56:54      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:54      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:54      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:56:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:56:58     all    6.25    0.00    0.05    0.00    0.00    0.00    0.00    0.00   93.69
18:56:58       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:58       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:56:58       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58       7    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
18:56:58       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      16    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
18:56:58      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      20    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
18:56:58      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:58      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      28    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
18:56:58      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:58      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:56:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:57:02     all    6.25    0.00    0.05    0.00    0.00    0.00    0.00    0.00   93.70
18:57:02       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:57:02       1    0.00    0.00    1.25    0.00    0.00    0.00    0.00    0.00   98.75
18:57:02       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      16    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
18:57:02      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:57:02      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:02      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:57:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:57:06     all    6.25    0.00    0.05    0.00    0.00    0.01    0.00    0.00   93.69
18:57:06       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:57:06       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:57:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      16    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
18:57:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:57:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
