Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

18:56:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:56:55     all    6.06    0.00    0.28    0.00    0.00    0.03    0.00    0.00   93.63
18:56:55       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:56:55       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55       3   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:55       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:56:55      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      18    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:56:55      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      24  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:56:55      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:55      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:56:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:56:56     all    6.13    0.00    0.19    0.00    0.00    0.00    0.00    0.00   93.68
18:56:56       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:56:56       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:56       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:56       3   96.04    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00
18:56:56       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:56       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:56       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:56       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:56:56       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
