procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0     15  63024    213    245    0    0     0     2    0    0 23  4 73  0  0	
 3  0     15  62852    213    245    0    0     0    40 4375 3302  6  0 94  0  0	
 5  0     15  62853    213    245    0    0     0     0 4461 3552  6  0 94  0  0	
 2  0     15  62854    213    245    0    0     0    14 3695 3029  6  0 94  0  0	
 4  0     15  62856    213    245    0    0     0     0 3030 2405  6  0 94  0  0	
 3  0     15  62857    213    245    0    0     0    24 3047 2419  6  0 94  0  0	
 2  0     15  62857    213    245    0    0     0     0 3048 2427  6  0 94  0  0	
 2  0     15  62857    213    245    0    0     0     0 3031 2410  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     6 3041 2413  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     6 3049 2434  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3104 2470  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     0 4223 3053  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     4 3229 2472  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     0 4077 3347  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     3 3980 2593  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     0 3875 2806  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     0 3705 3037  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 4048 3002  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     6 3988 2635  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3746 2844  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 4600 3836  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62858    213    245    0    0     0     0 4343 3464  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3998 3325  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3967 2602  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     0 4705 4179  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     0 4448 3588  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 4202 2978  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3997 2863  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     4 3678 2826  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 4032 3142  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3460 2568  6  0 94  0  0	
 3  0     15  62857    213    245    0    0     0     0 3664 2733  6  0 94  0  0	
 2  0     15  62857    213    245    0    0     0     0 4063 3165  6  0 94  0  0	
 3  0     15  62857    213    245    0    0     0     0 4338 3405  6  0 94  0  0	
 2  0     15  62857    213    245    0    0     0     0 3996 2644  6  0 94  0  0	
 2  0     15  62857    213    245    0    0     0     0 3998 2647  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 4028 2702  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     2 4298 3390  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 4397 3414  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3449 2539  6  0 94  0  0	
 3  0     15  62858    213    245    0    0     0     0 3034 2414  6  0 94  0  0	
 2  0     15  62858    213    245    0    0     0     0 3035 2422  6  0 94  0  0	
