procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     11  62735    246    663    0    0     0     2    0    0 33  3 64  0  0	
 1  0     11  62735    246    663    0    0     0     0 3274 2741  3  0 97  0  0	
 2  0     11  62735    246    663    0    0     0     0 3242 2811  3  0 97  0  0	
 3  0     11  62735    246    663    0    0     0    52 3268 2850  3  0 96  0  0	
 3  0     11  62737    246    663    0    0     0     0 3111 2562  3  0 97  0  0	
 1  0     11  62737    246    663    0    0     0     0 3211 2754  3  0 97  0  0	
 1  0     11  62738    246    663    0    0     0     0 3185 2655  3  0 97  0  0	
 3  0     11  62739    246    663    0    0     0     0 3156 2648  3  0 97  0  0	
 1  0     11  62739    246    663    0    0     0     0 3057 2453  3  0 97  0  0	
 1  0     11  62740    246    663    0    0     0     6 3082 2507  3  0 96  0  0	
 3  0     11  62740    246    663    0    0     0     0 3059 2457  3  0 97  0  0	
 1  0     11  62740    246    663    0    0     0     0 3070 2480  3  0 97  0  0	
 1  0     11  62740    246    663    0    0     0     0 3112 2554  3  0 97  0  0	
 2  0     11  62740    246    663    0    0     0     0 3096 2521  3  0 97  0  0	
 2  0     11  62741    246    663    0    0     0     0 3064 2465  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0     0 3072 2476  3  0 97  0  0	
 2  0     11  62741    246    663    0    0     0     0 3066 2460  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0    12 3079 2479  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0     0 3043 2438  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0     0 3034 2433  3  0 97  0  0	
 2  0     11  62741    246    663    0    0     0    52 3059 2464  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     11  62741    246    663    0    0     0     0 3050 2461  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0     0 3025 2421  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0     0 3074 2508  3  0 97  0  0	
 2  0     11  62741    246    663    0    0     0     0 3019 2417  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0     0 3012 2399  3  0 97  0  0	
 1  0     11  62741    246    663    0    0     0     0 3017 2405  3  0 97  0  0	
