procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0  62997    209    269    0    0     0     1    0    0 38  2 60  0  0	
 2  0      0  62733    209    269    0    0     0     0 4155 2631  6  0 94  0  0	
 2  0      0  62565    209    269    0    0     0     0 4074 2655  6  0 94  0  0	
 2  0      0  62565    209    269    0    0     0     0 4017 2588  6  0 94  0  0	
 2  0      0  62566    209    269    0    0     0     0 4045 2633  6  0 94  0  0	
 2  0      0  62566    209    269    0    0     0    52 4018 2613  6  0 94  0  0	
 3  0      0  62566    209    269    0    0     0    44 4066 2661  6  0 94  0  0	
 2  0      0  62566    209    269    0    0     0     0 4026 2607  6  0 94  0  0	
 2  0      0  62567    209    269    0    0     0     0 4045 2623  6  0 94  0  0	
 2  0      0  62567    209    269    0    0     0     0 4140 2820  6  0 94  0  0	
 2  0      0  62567    209    269    0    0     0     0 3465 2627  6  0 94  0  0	
 2  0      0  62567    209    269    0    0     0     0 3034 2411  6  0 94  0  0	
 2  0      0  62568    209    269    0    0     0     0 4249 3569  6  0 94  0  0	
 2  0      0  62568    209    269    0    0     0     0 3570 2492  6  0 94  0  0	
 2  0      0  62568    209    269    0    0     0    52 3784 2674  6  0 94  0  0	
 3  0      0  62568    209    269    0    0     0     0 3972 2583  6  0 94  0  0	
 2  0      0  62569    209    269    0    0     0     0 4004 2646  6  0 94  0  0	
 2  0      0  62569    209    269    0    0     0     0 3957 2545  6  0 94  0  0	
 2  0      0  62569    209    269    0    0     0     0 3462 2528  6  0 94  0  0	
 2  0      0  62569    209    269    0    0     0     0 3043 2409  6  0 94  0  0	
 2  0      0  62570    209    269    0    0     0     0 3052 2445  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  62570    209    269    0    0     0     0 3053 2404  6  0 94  0  0	
 2  0      0  62570    209    269    0    0     0     0 3139 2544  6  0 94  0  0	
 2  0      0  62570    209    269    0    0     0     0 3065 2420  6  0 94  0  0	
 2  0      0  62570    209    269    0    0     0    24 3593 2606  6  0 94  0  0	
 2  0      0  62570    209    269    0    0     0     0 4006 2582  6  0 94  0  0	
 3  0      0  62571    209    269    0    0     0     0 4504 3572  6  0 94  0  0	
 3  0      0  62571    209    269    0    0     0     0 4130 2790  6  0 94  0  0	
 2  0      0  62571    209    269    0    0     0     0 4548 3680  6  0 94  0  0	
 2  0      0  62571    209    269    0    0     0   172 4245 3060  6  0 94  0  0	
 2  0      0  62571    209    269    0    0     0    32 4678 4080  6  0 94  0  0	
 2  0      0  62571    209    269    0    0     0     0 4874 4311  6  0 94  0  0	
 2  0      0  62571    209    269    0    0     0     0 4827 4281  6  0 94  0  0	
 2  0      0  62571    209    269    0    0     0     0 4580 3794  6  0 94  0  0	
 2  0      0  62572    209    269    0    0     0    24 4679 3962  6  0 94  0  0	
 4  0      0  62572    209    269    0    0     0     0 4166 2959  6  0 94  0  0	
 3  0      0  62572    209    269    0    0     0     0 4480 3582  6  0 94  0  0	
 2  0      0  62572    209    269    0    0     0     0 4739 4113  6  0 94  0  0	
 1  0      0  62986    209    269    0    0     0     0 4156 4095  4  0 96  0  0	
 1  0      0  62986    209    269    0    0     0     0 3669 3770  3  0 97  0  0	
