Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	04/20/20 	_x86_64_	(32 CPU)

18:45:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:06     all    3.14    0.00    0.08    0.00    0.00    0.00    0.00    0.00   96.78
18:45:06       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06       7    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
18:45:06       8    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
18:45:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:45:06      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      24    0.51    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.48
18:45:06      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      28    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
18:45:06      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:06      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:08     all    3.13    0.00    0.08    0.30    0.00    0.00    0.00    0.00   96.50
18:45:08       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:45:08       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08       8   42.08    0.00    0.99    0.00    0.00    0.00    0.00    0.00   56.93
18:45:08       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      12    0.00    0.00    0.00    9.50    0.00    0.00    0.00    0.00   90.50
18:45:08      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      18   57.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   42.50
18:45:08      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      24    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:45:08      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:08      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:45:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:45:10     all    3.14    0.00    0.05    0.30    0.00    0.00    0.00    0.00   96.51
18:45:10       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10       8    8.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.46
18:45:10       9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:45:10      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:45:10      12    0.00    0.00    0.00    9.50    0.00    0.00    0.00    0.00   90.50
