Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

20:05:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:05:40     all   81.81    0.00    1.25    0.00    0.00    0.00    0.00    0.00   16.94
20:05:40       0   87.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   11.00
20:05:40       1   82.35    0.00    1.96    0.00    0.00    0.00    0.00    0.00   15.69
20:05:40       2   83.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   16.00
20:05:40       3   84.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   15.00
20:05:40       4   74.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   25.00
20:05:40       5   85.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.00
20:05:40       6   87.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   12.00
20:05:40       7   88.89    0.00    1.01    0.00    0.00    0.00    0.00    0.00   10.10
20:05:40       8   85.86    0.00    2.02    0.00    0.00    0.00    0.00    0.00   12.12
20:05:40       9   79.80    0.00    1.01    0.00    0.00    0.00    0.00    0.00   19.19
20:05:40      10   81.82    0.00    1.01    0.00    0.00    0.00    0.00    0.00   17.17
20:05:40      11   71.72    0.00    1.01    0.00    0.00    0.00    0.00    0.00   27.27
20:05:40      12   84.16    0.00    0.99    0.00    0.00    0.00    0.00    0.00   14.85
20:05:40      13   81.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   18.00
20:05:40      14   83.84    0.00    1.01    0.00    0.00    0.00    0.00    0.00   15.15
20:05:40      15   91.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    8.00
20:05:40      16   75.25    0.00    0.99    0.00    0.00    0.00    0.00    0.00   23.76
20:05:40      17   82.83    0.00    3.03    0.00    0.00    0.00    0.00    0.00   14.14
20:05:40      18   81.82    0.00    1.01    0.00    0.00    0.00    0.00    0.00   17.17
20:05:40      19   84.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   15.00
20:05:40      20   79.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   20.00
20:05:40      21   79.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   20.00
20:05:40      22   82.83    0.00    1.01    0.00    0.00    0.00    0.00    0.00   16.16
20:05:40      23   86.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   13.00
20:05:40      24   81.82    0.00    1.01    0.00    0.00    0.00    0.00    0.00   17.17
20:05:40      25   76.77    0.00    1.01    0.00    0.00    0.00    0.00    0.00   22.22
20:05:40      26   80.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   19.00
20:05:40      27   83.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00   16.16
20:05:40      28   82.83    0.00    1.01    0.00    0.00    0.00    0.00    0.00   16.16
20:05:40      29   77.78    0.00    2.02    0.00    0.00    0.00    0.00    0.00   20.20
20:05:40      30   78.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   21.00
20:05:40      31   80.81    0.00    1.01    0.00    0.00    0.00    0.00    0.00   18.18

20:05:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:05:41     all   80.24    0.00    0.13    0.00    0.00    0.00    0.00    0.00   19.64
20:05:41       0   84.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.15
20:05:41       1   86.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   14.00
20:05:41       2   80.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   20.00
20:05:41       3   80.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   20.00
20:05:41       4   86.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00   13.86
20:05:41       5   78.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   21.00
20:05:41       6   78.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00   21.21
20:05:41       7   70.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
20:05:41       8   84.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.84
20:05:41       9   81.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   19.00
20:05:41      10   73.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   27.00
