Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

20:06:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:06:14     all   98.22    0.00    0.12    0.00    0.00    0.00    0.00    0.00    1.66
20:06:14       0   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14       1   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
20:06:14       2   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14       3   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
20:06:14       4   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14       5   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14       6   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14       7   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14       8   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
20:06:14       9   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14      10   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
20:06:14      11   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
20:06:14      12   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
20:06:14      13   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
20:06:14      14   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.02
20:06:14      15   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14      16   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
20:06:14      17  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:14      18   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
20:06:14      19   97.03    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.99
20:06:14      20  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:14      21  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:14      22   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
20:06:14      23   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
20:06:14      24   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
20:06:14      25   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
20:06:14      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:14      27   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
20:06:14      28   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
20:06:14      29   96.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.96
20:06:14      30   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.03
20:06:14      31   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00

20:06:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:06:15     all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      17  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      19  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      20  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      21  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      22  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      23  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      24  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      25  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      27  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      28  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      29  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      30  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:15      31  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

20:06:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:06:16     all   99.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.56
20:06:16       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      17  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      19  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      20  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      21  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      22  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      23  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      24  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      25   81.82    0.00    0.00    0.00    0.00    0.00    0.00    0.00   18.18
20:06:16      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      27  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      28  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      29  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      30  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:16      31  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

20:06:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:06:17     all   96.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.47
20:06:17       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17       9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      14   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
20:06:17      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      17  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      18  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:06:17      19  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
