Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

20:25:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:25:44     all   39.27    0.00    0.88    0.03    0.00    0.03    0.00    0.00   59.79
20:25:44       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
20:25:44       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44       6    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
20:25:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44       8    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
20:25:44       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44      10   62.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   38.00
20:25:44      11   18.81    0.00    1.98    0.00    0.00    0.00    0.00    0.00   79.21
20:25:44      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44      13    4.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.05
20:25:44      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44      15   67.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
20:25:44      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:25:44      17   75.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   23.00
20:25:44      18   75.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   23.00
20:25:44      19   78.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   19.00
20:25:44      20   73.74    0.00    1.01    0.00    0.00    0.00    0.00    0.00   25.25
20:25:44      21   74.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00   25.25
20:25:44      22   75.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   24.00
20:25:44      23   75.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   24.00
20:25:44      24   77.45    0.00    1.96    0.00    0.00    0.00    0.00    0.00   20.59
20:25:44      25   78.79    0.00    2.02    0.00    0.00    0.00    0.00    0.00   19.19
20:25:44      26   17.82    0.00    0.99    0.00    0.00    0.00    0.00    0.00   81.19
20:25:44      27   82.18    0.00    1.98    0.00    0.00    0.99    0.00    0.00   14.85
20:25:44      28   78.22    0.00    1.98    0.00    0.00    0.00    0.00    0.00   19.80
20:25:44      29   79.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   20.00
20:25:44      30   78.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   21.00
20:25:44      31   88.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   11.00

20:25:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
20:25:45     all   15.74    0.00    0.06    0.00    0.00    0.00    0.00    0.00   84.20
20:25:45       0    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00   89.90
