procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0  62834    209    600    0    0     0     1    0    0 38  2 60  0  0	
28  0      0  62481    209    600    0    0     0     0 28309 11605 82  1 17  0  0	
47  0      0  62481    209    600    0    0     0     0 26908 11238 80  0 20  0  0	
51  0      0  62481    209    600    0    0     0     0 28100 11108 84  0 16  0  0	
19  0      0  62483    209    600    0    0     0     0 27167 11155 81  0 19  0  0	
46  0      0  62483    209    600    0    0     0    64 27647 11673 83  0 17  0  0	
61  0      0  62483    209    600    0    0     0     0 27232 11198 81  0 19  0  0	
50  0      0  62485    209    601    0    0     0     0 27020 11573 81  0 19  0  0	
19  0      0  62485    209    601    0    0     0     0 27504 11137 82  0 18  0  0	
33  0      0  62485    209    601    0    0     0     0 27728 11348 83  0 17  0  0	
38  0      0  62487    209    601    0    0     0     0 27151 11364 81  0 19  0  0	
34  0      0  62487    209    601    0    0     0     0 27006 11343 81  0 19  0  0	
46  0      0  62487    209    601    0    0     0     0 27470 11353 82  0 18  0  0	
35  0      0  62489    209    601    0    0     0     0 27333 11018 82  0 18  0  0	
46  0      0  62489    209    601    0    0     0     0 28209 11442 84  0 16  0  0	
27  0      0  62489    209    601    0    0     0     0 27004 11114 81  0 19  0  0	
48  0      0  62490    209    601    0    0     0     0 27547 11191 83  0 17  0  0	
48  0      0  62491    209    601    0    0     0     0 27233 11415 81  0 19  0  0	
41  0      0  62491    209    601    0    0     0     0 26810 11095 80  0 20  0  0	
34  0      0  62492    209    601    0    0     0     0 27109 11270 81  0 19  0  0	
26  0      0  62492    209    601    0    0     0     0 27662 11263 83  0 17  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
49  0      0  62492    209    601    0    0     0     0 26992 11425 81  0 19  0  0	
36  0      0  62492    209    601    0    0     0     0 26818 11212 80  0 20  0  0	
 7  0      0  62492    209    601    0    0     0     0 27102 11405 81  0 19  0  0	
20  0      0  62492    209    601    0    0     0     0 26891 11190 80  0 20  0  0	
53  0      0  62492    209    601    0    0     0     0 26989 11509 81  0 19  0  0	
47  0      0  62492    209    601    0    0     0     0 27540 11207 82  0 18  0  0	
45  0      0  62492    209    601    0    0     0     0 27393 11544 81  0 18  0  0	
49  0      0  62492    209    601    0    0     0     0 27409 11182 82  0 18  0  0	
47  0      0  62492    209    601    0    0     0     0 27520 11137 82  0 18  0  0	
