procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0  62790    209    601    0    0     0     1    0    0 38  2 60  0  0	
48  0      0  62743    209    601    0    0     0     0 32808 8759 98  0  2  0  0	
49  0      0  62743    209    601    0    0     0     0 33024 8422 100  0  0  0  0	
47  0      0  62743    209    601    0    0     0     0 32858 8452 99  0  1  0  0	
37  0      0  62745    209    601    0    0     0     0 32343 9046 97  0  3  0  0	
18  0      0  62777    209    601    0    0     0    16 26841 7874 78  0 22  0  0	
 7  0      0  62778    209    601    0    0     0    48 14458 4752 39  0 61  0  0	
 2  0      0  62795    209    601    0    0     0     0 3901 2697  5  0 95  0  0	
 1  0      0  62795    209    601    0    0     0     0 2019 2157  0  0 100  0  0	
 0  0      0  62796    209    601    0    0     0     0 2055 2196  0  0 100  0  0	
 1  0      0  62796    209    601    0    0     0     0 2055 2187  0  0 100  0  0	
 2  0      0  62796    209    601    0    0     0    16 2019 2193  0  0 100  0  0	
 0  0      0  62797    209    601    0    0     0     0 2041 2164  0  0 100  0  0	
 0  0      0  62797    209    601    0    0     0     0 2031 2179  0  0 100  0  0	
 1  0      0  62798    209    601    0    0     0     0 1990 2143  0  0 100  0  0	
 0  0      0  62798    209    601    0    0     0     0 2061 2278  0  0 100  0  0	
 0  0      0  62799    209    601    0    0     0     0 2015 2187  0  0 100  0  0	
 0  0      0  62799    209    601    0    0     0     0 2045 2205  0  0 100  0  0	
 1  0      0  62799    209    601    0    0     0     0 2022 2161  0  0 100  0  0	
 0  0      0  62800    209    601    0    0     0     0 2027 2192  0  0 100  0  0	
 0  0      0  62800    209    601    0    0     0     0 2036 2191  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  62800    209    601    0    0     0     0 2113 2263  0  0 100  0  0	
 0  0      0  62800    209    601    0    0     0     0 2036 2187  0  0 100  0  0	
 3  0      0  62800    209    601    0    0     0     0 2040 2205  0  0 100  0  0	
 0  0      0  62801    209    601    0    0     0     0 2038 2186  0  0 100  0  0	
 0  0      0  62801    209    601    0    0     0     0 2026 2201  0  0 100  0  0	
 0  0      0  62801    209    601    0    0     0    12 2017 2183  0  0 100  0  0	
 2  0      0  62802    209    601    0    0     0     0 2065 2259  0  0 100  0  0	
 1  0      0  62802    209    601    0    0     0     0 1999 2162  0  0 100  0  0	
 2  0      0  62802    209    601    0    0     0     0 2080 2224  0  0 100  0  0	
