procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0  62784    209    641    0    0     0     1    0    0 38  2 60  0  0	
11  0      0  62354    209    641    0    0     0     0 16104 7224 39  1 60  0  0	
 0  0      0  62778    209    641    0    0     0    60 7149 3978 16  0 84  0  0	
 3  0      0  62780    209    641    0    0     0     0 2035 2183  0  0 100  0  0	
 2  0      0  62780    209    641    0    0     0     0 2033 2168  0  0 100  0  0	
 0  0      0  62780    209    641    0    0     0     0 2043 2185  0  0 100  0  0	
 0  0      0  62781    209    641    0    0     0    44 2028 2170  0  0 100  0  0	
 1  0      0  62781    209    641    0    0     0     0 2054 2203  0  0 100  0  0	
 0  0      0  62781    209    641    0    0     0    12 1955 2148  0  0 100  0  0	
 0  0      0  62782    209    641    0    0     0     0 2065 2268  0  0 100  0  0	
 0  0      0  62783    209    641    0    0     0     0 2042 2203  0  0 100  0  0	
 2  0      0  62783    209    641    0    0     0     0 2073 2227  0  0 100  0  0	
 0  0      0  62784    209    641    0    0     0     0 2074 2226  0  0 100  0  0	
 0  0      0  62784    209    641    0    0     0     0 2035 2182  0  0 100  0  0	
 0  0      0  62784    209    641    0    0     0     0 2005 2151  0  0 100  0  0	
 2  0      0  62785    209    641    0    0     0    96 2058 2206  0  0 100  0  0	
 0  0      0  62785    209    641    0    0     0     0 2008 2154  0  0 100  0  0	
 0  0      0  62786    209    641    0    0     0     0 2044 2210  0  0 100  0  0	
 0  0      0  62786    209    641    0    0     0     0 2025 2172  0  0 100  0  0	
 2  0      0  62787    209    641    0    0     0     0 2033 2203  0  0 100  0  0	
 0  0      0  62789    209    641    0    0     0     0 1954 2158  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  62790    209    641    0    0     0     0 2061 2275  0  0 100  0  0	
 0  0      0  62790    209    641    0    0     0     0 2024 2188  0  0 100  0  0	
 2  0      0  62790    209    641    0    0     0     0 1936 2157  0  0 100  0  0	
 0  0      0  62790    209    641    0    0     0     0 2021 2184  0  0 100  0  0	
 0  0      0  62790    209    641    0    0     0     0 2032 2207  0  0 100  0  0	
 0  0      0  62791    209    641    0    0     0     0 2007 2167  0  0 100  0  0	
 2  0      0  62791    209    641    0    0     0     0 2033 2200  0  0 100  0  0	
 0  0      0  62791    209    641    0    0     0     0 2019 2176  0  0 100  0  0	
 0  0      0  62791    209    641    0    0     0     0 2025 2202  0  0 100  0  0	
