Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	04/21/20 	_x86_64_	(32 CPU)

12:47:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:47:42     all   84.28    0.00    1.78    0.03    0.00    0.00    0.00    0.00   13.91
12:47:42       0   85.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   13.00
12:47:42       1   90.10    0.00    1.98    0.00    0.00    0.00    0.00    0.00    7.92
12:47:42       2   86.14    0.00    1.98    0.00    0.00    0.00    0.00    0.00   11.88
12:47:42       3   90.10    0.00    1.98    0.00    0.00    0.00    0.00    0.00    7.92
12:47:42       4   88.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   10.00
12:47:42       5   87.13    0.00    1.98    0.00    0.00    0.00    0.00    0.00   10.89
12:47:42       6   84.16    0.00    1.98    0.00    0.00    0.00    0.00    0.00   13.86
12:47:42       7   85.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   13.00
12:47:42       8   85.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   13.00
12:47:42       9   83.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   14.00
12:47:42      10   86.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   13.00
12:47:42      11   84.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   14.00
12:47:42      12   85.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00   12.00
12:47:42      13   85.15    0.00    1.98    0.00    0.00    0.00    0.00    0.00   12.87
12:47:42      14   85.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   14.00
12:47:42      15   40.59    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.41
12:47:42      16   86.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   12.00
12:47:42      17   87.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   11.00
12:47:42      18   85.86    0.00    1.01    0.00    0.00    0.00    0.00    0.00   13.13
12:47:42      19   85.15    0.00    1.98    0.00    0.00    0.00    0.00    0.00   12.87
12:47:42      20   88.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   10.00
12:47:42      21   85.86    0.00    1.01    0.00    0.00    0.00    0.00    0.00   13.13
12:47:42      22   84.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   14.00
12:47:42      23   87.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   11.00
12:47:42      24   85.86    0.00    1.01    0.00    0.00    0.00    0.00    0.00   13.13
12:47:42      25   84.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   14.00
12:47:42      26   93.94    0.00    1.01    0.00    0.00    0.00    0.00    0.00    5.05
12:47:42      27   85.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   13.00
12:47:42      28   85.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   13.00
12:47:42      29   85.86    0.00    1.01    0.00    0.00    0.00    0.00    0.00   13.13
12:47:42      30   84.16    0.00    1.98    0.00    0.00    0.00    0.00    0.00   13.86
12:47:42      31   75.76    0.00    1.01    0.00    0.00    0.00    0.00    0.00   23.23

12:47:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:47:43     all   93.06    0.00    0.06    0.00    0.00    0.00    0.00    0.00    6.88
12:47:43       0   89.90    0.00    1.01    0.00    0.00    0.00    0.00    0.00    9.09
12:47:43       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:47:43       2   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:47:43       4   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43       5   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
12:47:43       6   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43       7   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
12:47:43       8   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
12:47:43       9   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
12:47:43      10   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
12:47:43      11   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
12:47:43      12   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
12:47:43      13   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
12:47:43      14   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43      15   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
12:47:43      16   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
12:47:43      17   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
12:47:43      18   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
12:47:43      19   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
12:47:43      20   92.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.92
12:47:43      21   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43      22   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
12:47:43      23   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43      24   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
12:47:43      25   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
12:47:43      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:47:43      27   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
12:47:43      28   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43      29   91.09    0.00    0.99    0.00    0.00    0.00    0.00    0.00    7.92
12:47:43      30   92.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07
12:47:43      31  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

12:47:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:47:44     all   93.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00    6.81
12:47:44       0   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
12:47:44       1   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
12:47:44       2   92.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.92
12:47:44       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:47:44       4   92.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.92
