Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/21/20 	_x86_64_	(32 CPU)

02:04:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
02:04:27     all   98.97    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.97
02:04:27       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       2  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       5   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
02:04:27       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27       9   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
02:04:27      10   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
02:04:27      11   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
02:04:27      12   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
02:04:27      13   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
02:04:27      14   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.98
02:04:27      15   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
02:04:27      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27      17   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
02:04:27      18   97.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    2.00
02:04:27      19   96.04    0.00    0.99    0.00    0.00    0.00    0.00    0.00    2.97
02:04:27      20  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:04:27      21  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
