Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	04/21/20 	_x86_64_	(32 CPU)

12:49:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:49:30     all   97.97    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.31
12:49:30       0   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.99
12:49:30       1   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.99
12:49:30       2   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30       3   97.03    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.99
12:49:30       4   97.03    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.99
12:49:30       5   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30       6   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30       7   96.04    0.00    0.99    0.00    0.00    0.00    0.00    0.00    2.97
12:49:30       8   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30       9   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      10   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      11   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      12   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      13   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      14   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      15   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      16   95.96    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      17   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      18   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      19   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      20   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
12:49:30      21   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      22   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      23   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
12:49:30      24   97.06    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.98
12:49:30      25   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:49:30      26   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
