procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  1      0  63162    209    270    0    0     0     1    0    0 38  2 60  0  0	
49  0      0  62809    209    270    0    0     0     0 28363 11506 82  1 17  0  0	
35  0      0  62809    209    270    0    0     0     0 27471 11276 82  0 18  0  0	
50  0      0  62809    209    270    0    0     0     0 27761 11462 83  0 17  0  0	
35  0      0  62810    209    270    0    0     0     0 27657 11491 83  0 17  0  0	
55  0      0  62811    209    270    0    0     0     0 27161 11332 81  0 19  0  0	
29  0      0  62811    209    270    0    0     0    64 27363 11282 82  0 18  0  0	
16  0      0  62812    209    270    0    0     0     0 27626 11549 83  0 17  0  0	
37  0      0  62813    209    270    0    0     0     0 27347 11313 82  0 18  0  0	
10  0      0  62813    209    270    0    0     0     0 27620 11393 83  0 17  0  0	
24  0      0  62814    209    270    0    0     0     0 27581 11553 82  0 18  0  0	
49  0      0  62814    209    270    0    0     0     0 27345 11484 81  0 18  0  0	
35  0      0  62814    209    270    0    0     0     0 27470 10946 82  0 18  0  0	
35  0      0  62815    209    270    0    0     0     0 28159 11027 84  0 16  0  0	
35  0      0  62815    209    270    0    0     0    12 27723 11414 83  0 17  0  0	
45  0      0  62815    209    270    0    0     0     0 27949 11107 84  0 16  0  0	
17  0      0  62816    209    271    0    0     0     0 27773 11315 83  0 17  0  0	
36  0      0  62816    209    271    0    0     0     0 27424 11385 82  0 18  0  0	
24  0      0  62816    209    271    0    0     0     0 27127 11553 81  0 19  0  0	
48  0      0  62817    209    271    0    0     0     0 25966 11095 77  0 23  0  0	
23  0      0  62817    209    271    0    0     0     0 27317 11570 81  0 18  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
50  0      0  62817    209    271    0    0     0     0 26854 11347 80  0 20  0  0	
18  0      0  62817    209    271    0    0     0     0 27625 11320 83  0 17  0  0	
40  0      0  62817    209    271    0    0     0     0 28125 11463 84  0 16  0  0	
36  0      0  62817    209    271    0    0     0     0 27710 11269 83  0 17  0  0	
33  0      0  62817    209    271    0    0     0     0 27794 11514 83  0 17  0  0	
33  0      0  62817    209    271    0    0     0     0 28022 11325 84  0 16  0  0	
42  0      0  62817    209    271    0    0     0     0 26468 11413 79  0 21  0  0	
20  0      0  62817    209    271    0    0     0    48 26519 11204 79  0 21  0  0	
30  0      0  62817    209    271    0    0     0     0 27085 11248 81  0 19  0  0	
