procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0  63128    209    270    0    0     0     1    0    0 38  2 60  0  0	
49  0      0  63093    209    270    0    0     0     0 26626 8303 75  0 25  0  0	
48  0      0  63093    209    271    0    0     0     0 33014 8508 100  0  0  0  0	
49  0      0  63093    209    271    0    0     0    64 33084 8582 100  0  0  0  0	
42  0      0  63095    209    271    0    0     0     0 32229 8337 97  0  3  0  0	
24  0      0  63096    209    271    0    0     0    48 30086 7924 91  0  9  0  0	
 7  0      0  63128    209    271    0    0     0     0 16332 5343 45  0 55  0  0	
 0  0      0  63144    209    271    0    0     0     0 4448 2724  7  0 93  0  0	
 1  0      0  63145    209    271    0    0     0     0 2070 2232  0  0 100  0  0	
 0  0      0  63145    209    271    0    0     0     0 2063 2220  0  0 100  0  0	
 0  0      0  63146    209    271    0    0     0     0 2092 2255  0  0 100  0  0	
 0  0      0  63146    209    271    0    0     0    16 2032 2193  0  0 100  0  0	
 0  0      0  63146    209    271    0    0     0     0 2073 2215  0  0 100  0  0	
 0  0      0  63147    209    271    0    0     0     0 2063 2196  0  0 100  0  0	
 0  0      0  63147    209    271    0    0     0     0 2066 2255  0  0 100  0  0	
 0  0      0  63148    209    271    0    0     0     0 2068 2265  0  0 100  0  0	
 0  0      0  63149    209    271    0    0     0     0 2040 2215  0  0 100  0  0	
 0  0      0  63149    209    271    0    0     0     0 2027 2188  0  0 100  0  0	
 0  0      0  63149    209    271    0    0     0     0 2065 2223  0  0 100  0  0	
 0  0      0  63149    209    271    0    0     0     0 2010 2174  0  0 100  0  0	
 0  0      0  63150    209    271    0    0     0     0 2054 2247  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  63150    209    271    0    0     0     0 2025 2189  0  0 100  0  0	
 0  0      0  63150    209    271    0    0     0     0 2079 2255  0  0 100  0  0	
 0  0      0  63150    209    271    0    0     0     0 2038 2189  0  0 100  0  0	
 1  0      0  63150    209    271    0    0     0     4 2052 2219  0  0 100  0  0	
 0  0      0  63151    209    271    0    0     0     0 2023 2181  0  0 100  0  0	
 0  0      0  63151    209    271    0    0     0     0 2048 2218  0  0 100  0  0	
 1  0      0  63151    209    271    0    0     0     0 2117 2313  0  0 100  0  0	
 0  0      0  63151    209    271    0    0     0     0 2081 2238  0  0 100  0  0	
 1  0      0  63151    209    271    0    0     0    68 2028 2185  0  0 100  0  0	
