procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     11  62735    247    657    0    0     0     2    0    0 33  3 64  0  0	
19  0     11  62304    247    657    0    0     0     0 15303 6883 42  1 57  0  0	
 5  0     11  62706    247    657    0    0     0     0 6068 3630 13  0 87  0  0	
 0  0     11  62706    247    657    0    0     0     0 2046 2179  0  0 100  0  0	
 0  2     11  62709    247    657    0    0     0    96 2037 2214  0  0 100  0  0	
 1  0     11  62709    247    657    0    0     0     8 2069 2222  0  0 99  1  0	
 0  0     11  62709    247    657    0    0     0     0 2022 2202  0  0 100  0  0	
 0  0     11  62709    247    657    0    0     0     0 2037 2181  0  0 100  0  0	
 2  0     11  62710    247    657    0    0     0     0 2062 2271  0  0 100  0  0	
 0  0     11  62711    247    657    0    0     0     0 2037 2183  0  0 100  0  0	
 0  0     11  62711    247    657    0    0     0     0 2027 2186  0  0 100  0  0	
 0  0     11  62711    247    657    0    0     0     0 2043 2219  0  0 100  0  0	
 2  0     11  62711    247    657    0    0     0     0 2036 2206  0  0 100  0  0	
 0  0     11  62711    247    657    0    0     0     0 2063 2230  0  0 100  0  0	
 0  0     11  62712    247    657    0    0     0     0 2027 2221  0  0 100  0  0	
 1  0     11  62712    247    657    0    0     0     0 2037 2183  0  0 100  0  0	
 0  0     11  62712    247    657    0    0     0     0 2003 2170  0  0 100  0  0	
 0  0     11  62713    247    657    0    0     0     0 2063 2237  0  0 100  0  0	
 2  0     11  62713    247    657    0    0     0     0 2040 2244  0  0 100  0  0	
 0  0     11  62713    247    657    0    0     0     0 2035 2205  0  0 100  0  0	
 0  0     11  62714    247    657    0    0     0     0 2049 2261  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0     11  62714    247    657    0    0     0     0 2038 2193  0  0 100  0  0	
 2  0     11  62714    247    657    0    0     0     0 2033 2206  0  0 100  0  0	
 0  0     11  62714    247    657    0    0     0     0 2048 2209  0  0 100  0  0	
 0  0     11  62714    247    657    0    0     0     0 2057 2205  0  0 100  0  0	
 1  0     11  62714    247    657    0    0     0     0 2042 2210  0  0 100  0  0	
 0  0     11  62714    247    657    0    0     0     0 2038 2196  0  0 100  0  0	
 0  0     11  62714    247    657    0    0     0     0 2018 2159  0  0 100  0  0	
 1  0     11  62714    247    657    0    0     0     0 2039 2184  0  0 100  0  0	
 0  0     11  62714    247    657    0    0     0     0 2041 2202  0  0 100  0  0	
