omp  results641
1 1


results641  bt
1 1


bt  W
1 1
4 3.2764
8 6.2059
12 8.7917
16 5.5236


bt  B
1 1
4 3.6773
8 6.7158
12 9.1491
16 7.4336


bt  A
1 1
4 3.5971
8 7.0331
12 9.2370
16 7.5204


results641  ep
1 1


ep  W
1 1
16 26.5312
8 16.7126
12 20.8088
4 8.8438


ep  B
1 1
16 21.8973
8 13.7933
12 18.8142
4 7.0977


ep  A
1 1
16 21.2377
8 13.8312
12 18.4973
4 7.1306


results641  mg
1 1


mg  W
1 1
4 3.2500
8 6.5000
12 6.5000
16 6.5000


mg  B
1 1
4 3.5538
8 5.4093
12 5.6729
16 4.4213


mg  A
1 1
4 3.6434
8 5.2626
12 5.5426
16 5.1078


