mpi  results641
1 1


results641  bt
1 1


bt  W
1 1
4 1.6510
16 4.1051
64 0.6355


bt  B
1 1
4 1.8748
16 5.1497
64 1.6136


bt  A
1 1
4 2.0294
16 5.7861
64 0.5273


results641  ep
1 1


ep  W
1 1
2 3.6913
4 7.3698
16 24.9706
32 42.4500
48 70.7500
64 106.1250


ep  B
1 1
2 3.1411
4 5.9583
16 20.5349
32 40.5830
48 60.7395
64 81.0459


ep  A
1 1
2 3.1122
4 5.9835
16 20.4184
32 40.7160
48 60.8938
64 80.9529


results641  mg
1 1


mg  W
1 1
2 0.8667
4 1.0000
16 2.8261
32 1.8571
64 0.2766


mg  B
1 1
2 1.1760
4 1.6192
16 3.2171
32 3.0222
64 0.4403


mg  A
1 1
2 1.1841
4 1.6487
16 3.5203
32 2.8944
64 0.4652


